OP_CARRIER,total_delay_rate_origin,carrier_delay_rate_origin,weather_delay_rate_origin,nas_delay_rate_origin,security_delay_rate_origin,late_aircraft_delay_rate_origin,avg_delay_minutes_origin,avg_carrier_delay_origin,avg_weather_delay_origin,avg_nas_delay_origin,avg_security_delay_origin,avg_late_aircraft_delay_origin
9E,0.17696806022829187,0.03988728473602309,0.004939969113501468,0.05600883105315097,3.603700596137997e-05,0.07611240797991935,77.87128945542746,106.49563097628896,72.79420858915529,50.45750785625634,7.7832674571805,68.47104666714348
AA,0.2608044797238922,0.0847690354014251,0.009441328467450473,0.06563277766703285,0.0009325417767243275,0.10002459267568872,68.89984167302624,71.00432621041058,88.59288578031165,42.578642256095215,37.832819335091386,83.49416668108451
AS,0.2473652978566342,0.056784719907484946,0.003398074897517293,0.1152304578337102,0.0005110934307849033,0.0714454834912218,46.20826002377768,54.91069201728194,53.345419904906585,37.20307950672486,14.875140109820391,48.165306019479196
B6,0.23561106818306346,0.08328003280276305,0.0033248462054092393,0.09043183908929935,0.00025655512143801817,0.058322963065974065,65.92580857893768,67.93829087698042,76.3280456567224,50.6492043062557,23.100465591151135,88.61666069757237
C5,0.26394844061929923,0.047973882240289624,0.08928710287560193,0.048571400509797504,0.00011042014757685001,0.0780033615155525,106.56482661682668,108.47662235921227,186.88530676758316,49.321339410076405,4.25,117.01321964548623
DL,0.19664330025921595,0.07576706869737916,0.006145501487228563,0.0603944749897125,5.8134308685706393e-05,0.05427721181974987,69.54662181914115,87.28220264291242,115.20346689448169,42.7101642789914,20.24915868493038,66.32334517973118
F9,0.28428275471804937,0.06964552148876384,0.004806407821713467,0.09242061057862751,0.0,0.11740896220814052,75.14299432979108,82.9249624198987,92.90596109495065,50.04119800598736,0.0,88.09653364676588
G4,0.20623377564028184,0.05935529683299298,0.0170543969442946,0.0682689090956439,9.696969696969698e-06,0.06148324891050091,83.16536910530355,93.62579497048023,26.068832078712397,45.24646092029282,3.787878787878788,92.49011849274099
G7,0.18890021784849068,0.04973598822750557,0.004066422055869873,0.058832002546581344,0.0,0.07626382329191363,95.59210456101108,88.72426187178047,124.81718800425907,48.51629455759,0.0,129.61680422753898
HA,0.2746926419303094,0.21277854901203383,0.0021872493782041365,0.0008686339838172273,0.003327943455913382,0.055529150465131606,49.28821009357,47.00967772674706,7.313747616483986,4.180773249738767,25.762880426745973,67.00796690480837
MQ,0.175259511521765,0.03486396597672352,0.012303054824637994,0.08125245916192539,0.00112519251925192,0.0457260890392261,50.1166469753157,46.010293766654954,49.55953440430387,37.06751869789968,10.086580086580087,39.885157780064546
NK,0.20702457118713521,0.05130092873172845,0.0051509965703556955,0.10771256833744075,0.0018468512560536909,0.041015071656549024,63.08045649141668,66.67590266643138,82.16146505508208,54.33248503462842,65.46740356071223,79.0189156625655
OH,0.23202160388259535,0.07120301093292426,0.013229564433407054,0.05630394264957415,0.0004144927941866696,0.0908727325211939,71.99398781870963,63.10917703007547,97.99574561936055,46.215603888884495,27.557971014492754,90.84869003584737
OO,0.19421196976603564,0.11242054572637934,0.027283828769491834,0.03433794689081903,0.0006022611527495318,0.01956849925913454,94.68690143913723,93.64183273948797,105.24001126005618,70.25560088040363,27.661777327776885,107.36111677507638
QX,0.18923572966026497,0.04290500682493384,0.0025386178618017623,0.05018921209957897,0.0,0.09360746842989415,59.58974042473394,78.98352819104315,57.804601968811454,34.51306233173283,0.0,66.32457784577572
UA,0.17837585609476025,0.055099704031898296,0.006141601940230473,0.06583912395582164,5.913529415059091e-06,0.051289536894994554,68.12120409697,69.36816198477722,92.25029940436558,43.421065136723165,4.451048951048951,92.43054162035044
WN,0.2087392162554024,0.06462604366981292,0.0037338513900097956,0.05214659264992713,0.0005413563146057402,0.08768952968052977,54.0662053062132,51.97947730394241,67.0193354041981,42.64135892379642,29.796851311204215,58.613332836881135
YV,0.18232023661551613,0.05533085022714244,0.00833005067862185,0.05982658547708213,4.628772449546364e-05,0.058779835323686254,78.65314650326226,70.12541882982613,90.02986571422579,48.879126132759694,7.681818181818182,105.02912946077791
YX,0.15221779431315466,0.037026924120047794,0.006666386979153441,0.055349059174840745,0.0,0.05318563578439273,61.12261998251135,68.7678281135997,83.17565500799249,38.67302950762514,0.0,73.65558062683527
ZW,1.0,0.86,0.0,0.04,0.0,0.11,426.0,424.4186046511628,0.0,400.0,0.0,409.09090909090907
