year,month,arr_flights,arr_del15,arr_delay,total_delay_rate,avg_delay_minutes,carrier_delay_pct,weather_delay_pct,nas_delay_pct,date
2024,9,77724.0,10456.0,694331.0,0.15894682519884618,65.9361682379339,37.841325958333016,3.111904876604899,26.63595231820885,2024-09-01
2024,10,81427.0,8694.0,554370.0,0.133159955594744,59.4926160575162,42.381141914299775,2.9489782847119237,25.83770460947867,2024-10-01
2024,11,76598.0,10463.0,665210.0,0.14830098441982795,56.38479999491765,37.51304831806742,3.8000431703550817,28.258955602972023,2024-11-01
2024,12,79104.0,14125.0,998322.0,0.22460159030635354,76.42528468677037,35.308689633909964,4.035961198527644,27.708615943065613,2024-12-01
2025,1,74193.0,13777.0,1071980.0,0.19606703730009897,71.54452965141381,33.920243675586974,3.5466562871426426,32.303479632627905,2025-01-01
2025,2,68537.0,13196.0,970609.0,0.21682823167649093,69.25555694860466,31.35609403249823,4.077006331913174,33.092015246478205,2025-02-01
2025,3,81032.0,13223.0,984971.0,0.20741873385324539,70.37841179700361,30.419055308109687,4.676737928919718,26.78091189495671,2025-03-01
2025,4,78549.0,15357.0,1160502.0,0.22564374604983684,68.09100278236527,32.278362315868,3.24738705137052,31.960706876291443,2025-04-01
2025,5,83156.0,19618.0,1483772.0,0.26076070693579,69.49700833288978,28.41822308956819,4.069665231855036,35.816837437067235,2025-05-01
2025,6,84393.0,22772.0,1905881.0,0.2982748280111955,79.41916804136555,28.598962332536427,4.6189627144410865,30.971599347919,2025-06-01
2025,7,86703.0,22783.0,1930094.0,0.30422820854102145,81.14030152590469,29.5349897313121,5.539322457499593,31.157507148643777,2025-07-01
